title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,location,tags,url
西直门，金融街，交通大学，南北通透，全明格局，满五,555,万,76132元/㎡,3室1厅1卫,72.9,南北,高层(共6层),1992,交大东路31号院,海淀 交通大学 交大东路31号,热门小区 南北通透 优势户型,https://bj.58.com/ershoufang/4224335193759759x.shtml?auction=220&hpType=60&entry=102&position=20&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_20&from=from_esf_List_search&index=20
急！急！可谈！林肯公园 南北通透 2居 精装 好户型,538,万,58194元/㎡,2室2厅1卫,92.45,南北,低层(共20层),2010,林肯公园C区,大兴 亦庄 文化园西路8号,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3750068240755722x.shtml?auction=201&hpType=60&entry=102&position=21&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_21&from=from_esf_List_search&index=21
真！650萬，朝阳精装现房 3站到望京！温榆河畔！老湾河！,1400,万,51095元/㎡,4室2厅3卫,274,南北,,2023,朝阳一墅(新房),朝阳 望京 东苇路与金港南路交叉口约500米处,动静分离 大户型 车位充足,https://bj.58.com/ershoufang/3566054798121989x.shtml?auction=220&hpType=60&entry=102&position=22&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_22&from=from_esf_List_search&index=22
双井百环家园3室1厅,555,万,44153元/㎡,3室1厅1卫,125.7,南,低层(共26层),2005,百环家园,朝阳 双井 广渠路66号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4229924746779657x.shtml?auction=201&hpType=60&entry=102&position=23&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_23&from=from_esf_List_search&index=23
东三环双井地铁口05年小区南向三居满五  商品房有钥匙随时看,573,万,45585元/㎡,3室1厅1卫,125.7,东南,低层(共26层),2005,百环家园,朝阳 双井 广渠路66号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4241240930951180x.shtml?auction=201&hpType=60&entry=102&position=24&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_24&from=from_esf_List_search&index=24
林肯公园住宅高性价比一套 5   能商业配套成熟  集中供暖,545,万,59382元/㎡,2室2厅1卫,91.78,南北,中层(共28层),2013,林肯公园C区,大兴 亦庄 文化园西路8号,南北 房东发布 满五年 近地铁,https://bj.58.com/ershoufang/4329045629279243x.shtml?auction=201&hpType=60&entry=102&position=25&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_25&from=from_esf_List_search&index=25
东城九三 （一.口.价）2层 南北田字格三居 明厨明卫看房方,640,万,79366元/㎡,3室1厅1卫,80.64,南北,共4层,1976,和平里七区,东城 和平里 青年沟路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4237443015994374x.shtml?auction=201&hpType=60&entry=102&position=26&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_26&from=from_esf_List_search&index=26
亦庄天街万科金域东郡三居诚心出售,536,万,58843元/㎡,3室2厅1卫,91.09,南北,低层(共9层),2016,金域东郡,大兴 亦庄 四合路3号,南北 优势户型 价格优惠 随时可看,https://bj.58.com/ershoufang/4005021576817668x.shtml?auction=220&hpType=60&entry=102&position=27&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_27&from=from_esf_List_search&index=27
梨园桃花岛3室1厅   紧邻地铁7号线,225,万,27214元/㎡,3室1厅1卫,82.68,南北,低层(共6层),2008,桃花岛,通州 梨园 九棵树中路998号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4323735805812748x.shtml?auction=201&hpType=60&entry=102&position=28&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_28&from=from_esf_List_search&index=28
金台路，朝阳公园，道家园，大客厅，精装，1993年,295,万,47087元/㎡,2室1厅1卫,62.65,南北,高层(共12层),1993,道家园小区(北区),朝阳 甜水园 甜水园东街7号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4003644624231430x.shtml?auction=201&hpType=60&entry=102&position=29&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_29&from=from_esf_List_search&index=29
急售，有钥匙随时看房。电梯叠拼别墅，客厅南向有阳台双卧朝南,470,万,28080元/㎡,3室2厅3卫,167.38,南北,中层(共6层),2007,北京洋房,昌平 北七家 七星路216号,南北 满五年 车位充足 多人关注,https://bj.58.com/ershoufang/3996853856066570x.shtml?auction=201&hpType=60&entry=102&position=30&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_30&from=from_esf_List_search&index=30
远见名苑，朝东一居室，满五年一套，落地窗，安静宜居,289,万,60209元/㎡,1室1厅1卫,48,,低层(共24层),2014,远见名苑(一期),西城 广安门外 红居街,东 有电梯 近地铁 采光较好,https://bj.58.com/ershoufang/4246969915878412x.shtml?auction=201&hpType=60&entry=102&position=31&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_31&from=from_esf_List_search&index=31
红山郡 明卫三居室 高楼层 包税费 诚意出 随时看,205,万,23637元/㎡,2室2厅1卫,86.73,南北,中层(共21层),2017,红山郡,丰台 长辛店 鑫博西路4号,南北 满二年,https://bj.58.com/ershoufang/4329366324538383x.shtml?auction=201&hpType=60&entry=102&position=32&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_32&from=from_esf_List_search&index=32
陶然亭西城永安路小区 电梯直达南向两居室 满五一套 看房方便,420,万,63111元/㎡,2室1厅1卫,66.55,南,低层(共16层),1981,永安路北小区,西城 虎坊桥 永安路北1-北6号,南 近地铁 热门小区 房东急售,https://bj.58.com/ershoufang/4330912271719424x.shtml?auction=220&hpType=60&entry=102&position=33&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_33&from=from_esf_List_search&index=33
新上！510亦庄线，高楼层  两居室，随时看,188,万,31704元/㎡,2室1厅1卫,59.3,东西,高层(共6层),2003,石榴园南里小区,丰台 石榴庄 石榴庄路,东西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4317918273874954x.shtml?auction=201&hpType=60&entry=102&position=34&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_34&from=from_esf_List_search&index=34
西四环大井程庄路和风四季采光好，精装修，诚心卖,215,万,31056元/㎡,2室1厅1卫,69.23,,中层(共21层),2007,和风四季,丰台 五里店 程庄路,西 有电梯 采光较好,https://bj.58.com/ershoufang/3269043002596352x.shtml?auction=201&hpType=60&entry=102&position=35&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_35&from=from_esf_List_search&index=35
清盘检漏了，7号地铁，朝阳四环十一，110平690,809,万,70965元/㎡,3室2厅2卫,114,南北,,,保利·锦上,朝阳 国贸 王四营板块地铁7号线双合站东北侧约600米,南北通透 厨卫全明 主卧套房,https://bj.58.com/ershoufang/3048219001134089x.shtml?auction=201&hpType=60&entry=102&position=36&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_36&from=from_esf_List_search&index=36
中海墅高层平墅   精装修  边户 中高层 一梯一户,779,万,50265元/㎡,3室2厅2卫,154.98,南北,高层(共12层),2017,中海墅(东区),大兴 亦庄西区 鹿华路,南北 满五年 车位充足,https://bj.58.com/ershoufang/4326320489291776x.shtml?auction=201&hpType=60&entry=102&position=37&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_37&from=from_esf_List_search&index=37
高楼层西向观国贸全景 复式两居室 动静分离 住宅小区天然气,390,万,30273元/㎡,3室1厅2卫,128.83,东西,高层(共36层),2001,SOHO现代城,朝阳 CBD 建国路88号,东西 满五年 近地铁,https://bj.58.com/ershoufang/4330698114362376x.shtml?auction=201&hpType=60&entry=102&position=38&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_38&from=from_esf_List_search&index=38
望京集中供暖交通便捷南向采光好 精装修 商圈成熟随时能看,700,万,68440元/㎡,2室1厅1卫,102.28,南,低层(共26层),2010,上京新航线,朝阳 望京 望京北路,南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/3568549903342599x.shtml?auction=220&hpType=60&entry=102&position=39&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_39&from=from_esf_List_search&index=39
富力惠兰美居 高楼层  南北通透 三居室 看房随时业主急售,280,万,26543元/㎡,3室1厅2卫,105.49,南北,高层(共18层),2016,富力惠兰美居(F区),通州 潞苑 朝阳北路,南北 满五年,https://bj.58.com/ershoufang/4331852647374858x.shtml?auction=201&hpType=60&entry=102&position=40&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_40&from=from_esf_List_search&index=40
258萬 五环精装现房 地铁100  一站可达草桥,312,万,35057元/㎡,2室2厅1卫,89,南北,,2026,首创禧悦兴城,大兴 观音寺 北京市大兴区地铁大兴新城站A口西侧约200米禧悦兴城,私密性好 厨卫全明 客餐厅相连 多轨交,https://bj.58.com/ershoufang/4282392767638542x.shtml?auction=220&hpType=60&entry=102&position=41&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_41&from=from_esf_List_search&index=41
东四环 后现代城 拎包入住一居室,185,万,40722元/㎡,1室1厅1卫,45.43,北,高层(共20层),2008,后现代城(A区),朝阳 百子湾 百子湾路12号,北 近地铁 多人关注,https://bj.58.com/ershoufang/3438610380317709x.shtml?auction=201&hpType=60&entry=102&position=42&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_42&from=from_esf_List_search&index=42
回龙观 云趣园一区  紧邻地铁8号线 南北复式 随时看房,325,万,23483元/㎡,4室2厅2卫,138.4,南北,高层(共6层),2000,云趣园(一区),昌平 回龙观 龙禧二街,南北 满二年 近地铁 多人关注,https://bj.58.com/ershoufang/4291282134522888x.shtml?auction=201&hpType=60&entry=102&position=43&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_43&from=from_esf_List_search&index=43
车公庄附近 东南田字格三居 采光好 低楼层 看房随时,550,万,75343元/㎡,3室1厅1卫,73,东南,低层(共6层),1995,车公庄大街北里,西城 车公庄 车公庄北里中路,东南 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/3389472168731655x.shtml?auction=201&hpType=60&entry=102&position=44&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_44&from=from_esf_List_search&index=44
龙跃苑东二区客厅挑高3 ，南北通透大落地窗,270,万,26476元/㎡,3室1厅1卫,101.98,南北,高层(共6层),2008,龙跃苑(东二区),昌平 回龙观 良庄西街,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3699048327818253x.shtml?auction=201&hpType=60&entry=102&position=45&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_45&from=from_esf_List_search&index=45
万年花城玫瑰碗(万年花城三期) 满五   商品住宅 商圈成熟,395,万,42773元/㎡,2室1厅1卫,92.35,东西,低层(共14层),2008,万年花城玫瑰碗(万年花城三期),丰台 玉泉营 芳菲路88号,东西 热门小区 近地铁 配套成熟,https://bj.58.com/ershoufang/4136874143149057x.shtml?auction=220&hpType=60&entry=102&position=46&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_46&from=from_esf_List_search&index=46
五棵松玉泉路 南北通透全明格局两居，独立下水，采光无遮挡,498,万,62555元/㎡,2室2厅1卫,79.61,南北,低层(共6层),1999,玉海园五里,海淀 永定路 玉泉路8号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3048226492734474x.shtml?auction=201&hpType=60&entry=102&position=47&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_47&from=from_esf_List_search&index=47
崇文门崇文门西大街 高楼层 视野好 近地铁2居,350,万,65470元/㎡,2室1厅1卫,53.46,西北,高层(共12层),1980,崇文门西大街小区,东城 崇文门 崇文门西大街,西北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4259583016935432x.shtml?auction=201&hpType=60&entry=102&position=48&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_48&from=from_esf_List_search&index=48
农科院   皂君东里（社科院宿舍） 南北三居 高楼层采光好,475,万,60665元/㎡,3室1厅1卫,78.3,南北,高层(共6层),1985,皂君东里,海淀 皂君庙 学院南路49号,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4329253689383942x.shtml?auction=201&hpType=60&entry=102&position=49&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_49&from=from_esf_List_search&index=49
前排三居室，正南正北，业主诚意卖，有车位，随时看房,990,万,56884元/㎡,3室2厅2卫,174.04,南北,低层(共31层),2007,世茂奥临花园,朝阳 北苑 清林路一号,南北 近地铁 绿化率高 采光较好,https://bj.58.com/ershoufang/4174656141503488x.shtml?auction=201&hpType=60&entry=102&position=50&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_50&from=from_esf_List_search&index=50
着急卖。东二环 建外 嘉华世纪 南北向两居 双卫 看房随时,735,万,48071元/㎡,2室2厅2卫,152.9,南北,中层(共21层),2004,嘉华世纪,朝阳 建外大街 建国门外大街18号,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4286827015465995x.shtml?auction=201&hpType=60&entry=102&position=51&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_51&from=from_esf_List_search&index=51
万科物业推荐好房  万科星园西南一居出售观景奥森,399,万,61197元/㎡,1室2厅1卫,65.2,西南,低层(共28层),2004,万科星园,朝阳 奥林匹克公园 安立路,西南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/4325150263009281x.shtml?auction=220&hpType=60&entry=102&position=52&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_52&from=from_esf_List_search&index=52
天通苑北 不临街东边户 全明户型  电梯洋房,265,万,29944元/㎡,2室2厅1卫,88.5,南北,低层(共8层),2014,金色漫香苑,昌平 北七家 天权路2号,南北 满五年 采光较好,https://bj.58.com/ershoufang/4309285242626056x.shtml?auction=201&hpType=60&entry=102&position=53&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_53&from=from_esf_List_search&index=53
崇文门西大街 有电梯 南北通透 近地铁  好房必看,399,万,74095元/㎡,3室0厅1卫,53.85,南北,高层(共13层),1979,崇文门西大街小区,东城 崇文门 崇文门西大街,南北 近地铁 户型方正,https://bj.58.com/ershoufang/4291319100353548x.shtml?auction=201&hpType=60&entry=102&position=54&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_54&from=from_esf_List_search&index=54
果园雅丽世居2室2厅,252,万,24362元/㎡,2室2厅1卫,103.44,南北,高层(共18层),2005,雅丽世居,通州 通州北苑 北苑南路38号,南北 满五年 近地铁,https://bj.58.com/ershoufang/3048231498686473x.shtml?auction=201&hpType=60&entry=102&position=55&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_55&from=from_esf_List_search&index=55
金成雅苑 满五   精装好房 商品房 次新房 带电梯,235,万,26575元/㎡,2室1厅1卫,88.43,东西,中层(共13层),2020,金成雅苑,顺义 后沙峪 裕庆路12号,东西 满五年 次新房,https://bj.58.com/ershoufang/4249834279181318x.shtml?auction=201&hpType=60&entry=102&position=56&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_56&from=from_esf_List_search&index=56
万达北人家园2室1厅,245,万,31286元/㎡,2室1厅1卫,78.31,南北,高层(共27层),2017,北人家园,通州 新华大街 新华东街,南北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4326337324051463x.shtml?auction=201&hpType=60&entry=102&position=57&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_57&from=from_esf_List_search&index=57
