title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
双井百环家园2室1厅 满五年   诚意出售,419,万,43747元/㎡,2室1厅1卫,95.78,西南,高层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4249972836506630x.shtml?auction=201&hpType=60&entry=102&position=10&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_10&from=from_esf_List_search&index=12,2025-11-28 12:20:23
东三环双井地铁口05年小区南向三居满五  商品房有钥匙随时看,573,万,45585元/㎡,3室1厅1卫,125.7,东南,低层(共26层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4241240930951180x.shtml?auction=201&hpType=60&entry=102&position=11&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_11&from=from_esf_List_search&index=13,2025-11-28 12:20:23
百环家园西南两居室 业主诚意出售,439,万,48279元/㎡,2室1厅1卫,90.93,西南,高层(共26层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁 多人关注,https://bj.58.com/ershoufang/3461254806609933x.shtml?auction=201&hpType=60&entry=102&position=12&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_12&from=from_esf_List_search&index=14,2025-11-28 12:20:23
满五 精装修 88平 2室2厅 电梯房 诚心出售 价格可议,459,万,51900元/㎡,2室2厅1卫,88.44,南北,低层(共9层),2014,领秀慧谷C区(一区),昌平,回龙观,昌平 回龙观 农学院北路9号,热门小区 近地铁 南北通透,https://bj.58.com/ershoufang/3894992904481805x.shtml?auction=220&hpType=60&entry=102&position=13&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_13&from=from_esf_List_search&index=15,2025-11-28 12:20:23
双井  精装两居  电梯直达，楼下地铁10号线7号线楼龄新,360,万,56595元/㎡,2室1厅1卫,63.61,北,中层(共18层),1990,"广渠路46,48,50号楼",朝阳,双井,朝阳 双井 广渠路,北 满五年 近地铁,https://bj.58.com/ershoufang/3875101260488712x.shtml?auction=201&hpType=60&entry=102&position=14&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_14&from=from_esf_List_search&index=16,2025-11-28 12:20:23
单价5万！业主急售！装修保养好 双卫 东三环双井,510,万,53125元/㎡,2室2厅2卫,96,北,低层(共31层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,北 近地铁 多人关注,https://bj.58.com/ershoufang/4211567382011907x.shtml?auction=201&hpType=60&entry=102&position=15&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_15&from=from_esf_List_search&index=17,2025-11-28 12:20:23
近商场，地铁，小区环境好绿化高楼栋间距广,570,万,60529元/㎡,2室1厅1卫,94.17,东北,低层(共26层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,东北 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/4273857425170444x.shtml?auction=201&hpType=60&entry=102&position=16&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_16&from=from_esf_List_search&index=19,2025-11-28 12:20:23
来电有优惠）可看2号楼实房样板间，精装带家具，同看泛海世家,7515,万,167000元/㎡,4室3厅5卫,450,南北,,,缦合·北京,朝阳,燕莎,朝阳 燕莎 霄云路8号,主卧套房 厨卫全明 南北通透 轨交房,https://bj.58.com/ershoufang/3048195486851079x.shtml?auction=201&hpType=60&entry=102&position=17&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_17&from=from_esf_List_search&index=20,2025-11-28 12:20:23
现房    ，77平2居，有燃气.临地铁.宋好礼澫元家电.,248,万,32021元/㎡,2室2厅1卫,77.45,南北,,2021,合景寰汇公馆,通州,新华大街,通州 新华大街 滨河中路北段西侧100米东关一街2号院,购物中心 车位充足,https://bj.58.com/ershoufang/3048261123955723x.shtml?auction=201&hpType=60&entry=102&position=18&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_18&from=from_esf_List_search&index=21,2025-11-28 12:20:23
新上！CBD华腾园东南两居 精装修  出行方便 带地下车位,480,万,54048元/㎡,2室1厅1卫,88.81,东南,低层(共28层),2000,华腾园,朝阳,劲松,朝阳 劲松 东三环南路54号,东南 热门小区 配套成熟 价格优惠,https://bj.58.com/ershoufang/4289607522967565x.shtml?auction=220&hpType=60&entry=102&position=19&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_19&from=from_esf_List_search&index=22,2025-11-28 12:20:23
单价5 买三环边全南两居 高层采光视野无遮挡 得房率82%,599,万,62396元/㎡,2室1厅1卫,96,南,低层(共26层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,南 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4227186041921551x.shtml?auction=201&hpType=60&entry=102&position=20&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_20&from=from_esf_List_search&index=23,2025-11-28 12:20:23
亦庄河西区金域东郡精装修南北通透两居室看房随时中楼层急售急售,370,万,49334元/㎡,2室1厅1卫,75,南北,低层(共28层),2015,金域东郡,大兴,亦庄,大兴 亦庄 四合路3号,南北 满五年,https://bj.58.com/ershoufang/4332287162821647x.shtml?auction=201&hpType=60&entry=102&position=21&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_21&from=from_esf_List_search&index=24,2025-11-28 12:20:23
双井百环家园3室1厅,555,万,44153元/㎡,3室1厅1卫,125.7,南,低层(共26层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4229924746779657x.shtml?auction=201&hpType=60&entry=102&position=22&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_22&from=from_esf_List_search&index=26,2025-11-28 12:20:23
林肯公园两居室，次顶层,515,万,55484元/㎡,2室2厅1卫,92.82,南,高层(共28层),2014,林肯公园C区,大兴,亦庄,大兴 亦庄 文化园西路8号,南 近地铁,https://bj.58.com/ershoufang/3811077183774720x.shtml?auction=201&hpType=60&entry=102&position=23&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_23&from=from_esf_List_search&index=27,2025-11-28 12:20:23
双井百环家园3室1厅,699,万,50051元/㎡,3室1厅2卫,139.66,西南,高层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4186002493579266x.shtml?auction=201&hpType=60&entry=102&position=24&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_24&from=from_esf_List_search&index=28,2025-11-28 12:20:23
聚焦好房 奥森旁 南向二居室 户型方正 视野好,578,万,68282元/㎡,2室2厅1卫,84.65,南,高层(共19层),2008,上元君庭,朝阳,奥林匹克公园,朝阳 奥林匹克公园 安立路28号,南 价格优惠 随时可看,https://bj.58.com/ershoufang/3048214309150727x.shtml?auction=220&hpType=60&entry=102&position=25&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_25&from=from_esf_List_search&index=29,2025-11-28 12:20:23
3XX望京新城东南向两居不临街看小区里中高层采光好，满五,358,万,39898元/㎡,2室1厅1卫,89.73,东南,中层(共30层),1997,望京西园四区,朝阳,望京,朝阳 望京 阜通西大街,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3957156673789962x.shtml?auction=201&hpType=60&entry=102&position=26&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_26&from=from_esf_List_search&index=30,2025-11-28 12:20:23
东四环，朝阳公园旁， 楼层好，满五,208,万,36569元/㎡,2室1厅1卫,56.88,南北,中层(共6层),1988,南十里居(1-14号楼),朝阳,酒仙桥,朝阳 酒仙桥 酒仙桥路,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4015291691998213x.shtml?auction=201&hpType=60&entry=102&position=27&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_27&from=from_esf_List_search&index=31,2025-11-28 12:20:23
必卖好房东坝坝鑫家园23年新楼户型方正全南1居落地窗大阳台,188,万,33352元/㎡,1室1厅1卫,56.37,南,中层(共21层),2023,坝鑫家园,朝阳,东坝,朝阳 东坝 单店西路2号,南 有电梯 近地铁 次新房,https://bj.58.com/ershoufang/4336144206785543x.shtml?auction=201&hpType=60&entry=102&position=28&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_28&from=from_esf_List_search&index=32,2025-11-28 12:20:23
（必看好房~地铁100m）东坝 南北通透78平两居 看房方便,265,万,33871元/㎡,2室2厅1卫,78.24,南北,低层(共16层),2011,金泰丽富嘉园(30号院),朝阳,东坝,朝阳 东坝 东坝中路30号,南北 满二年 近地铁 车位充足,https://bj.58.com/ershoufang/4288087241710594x.shtml?auction=201&hpType=60&entry=102&position=29&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_29&from=from_esf_List_search&index=33,2025-11-28 12:20:23
明星楼盘，繁华商圈（优选|可议价）三里屯S H 品质社区！,850,万,60715元/㎡,2室1厅2卫,140,东,中层(共26层),2010,三里屯SOHO公寓,朝阳,三里屯,朝阳 三里屯 工人体育场北路8号,东 近地铁,https://bj.58.com/ershoufang/3827027139472384x.shtml?auction=201&hpType=60&entry=102&position=30&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_30&from=from_esf_List_search&index=34,2025-11-28 12:20:23
万达富力金禧花园2室2厅，南北通透，高楼层，通风采光好,485,万,54667元/㎡,2室1厅1卫,88.72,南北,高层(共27层),2015,富力金禧花园,通州,新华大街,通州 新华大街 新华南路,南北通透 满五 价格优惠,https://bj.58.com/ershoufang/3795791062966274x.shtml?auction=220&hpType=60&entry=102&position=31&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_31&from=from_esf_List_search&index=35,2025-11-28 12:20:23
灵秀山庄三居底价美丽！中间层 双阳台 三个飘窗 南四环旧宫,335,万,32786元/㎡,3室2厅1卫,102.18,南北,共5层,2002,灵秀山庄,大兴,旧宫,大兴 旧宫 旧头路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4022454117654535x.shtml?auction=201&hpType=60&entry=102&position=32&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_32&from=from_esf_List_search&index=36,2025-11-28 12:20:23
总监推荐宋家庄顶秀欣园东苑精装修2室,358,万,38774元/㎡,2室1厅1卫,92.33,南,低层(共21层),2006,顶秀欣园东苑,丰台,宋家庄,丰台 宋家庄 宋庄路,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4181897326255114x.shtml?auction=201&hpType=60&entry=102&position=33&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_33&from=from_esf_List_search&index=37,2025-11-28 12:20:23
急 536起拍 奥森林奥嘉园 127平 单价4.2万,635,万,50075元/㎡,3室2厅2卫,126.81,南北,高层(共27层),2015,林奥嘉园,朝阳,北苑,朝阳 北苑 清林东路,南北 满五年 近地铁,https://bj.58.com/ershoufang/4337598469447692x.shtml?auction=201&hpType=60&entry=102&position=34&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_34&from=from_esf_List_search&index=38,2025-11-28 12:20:23
万达富力金禧花园2室2厅,385,万,43259元/㎡,2室2厅1卫,89,西北,中层(共22层),2012,富力金禧花园,通州,新华大街,通州 新华大街 新华南路,西北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4209192391941126x.shtml?auction=201&hpType=60&entry=102&position=35&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_35&from=from_esf_List_search&index=39,2025-11-28 12:20:23
新宫地铁房 南庭新苑南区2居室 高楼层,199,万,28875元/㎡,2室1厅1卫,68.92,南北,高层(共15层),2009,南庭新苑南区,丰台,新宫,丰台 新宫 槐房西路,南北 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/4319616054111234x.shtml?auction=201&hpType=60&entry=102&position=36&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_36&from=from_esf_List_search&index=40,2025-11-28 12:20:23
白家庄东里，楼龄新，近地铁，1995年电梯,323,万,51442元/㎡,2室1厅1卫,62.79,东南,中层(共12层),1995,白家庄东里,朝阳,团结湖,朝阳 团结湖 姚家园路,东南 热门小区 价格优惠 随时可看,https://bj.58.com/ershoufang/3376465648213002x.shtml?auction=220&hpType=60&entry=102&position=37&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_37&from=from_esf_List_search&index=41,2025-11-28 12:20:23
新宫 御槐园 交通便捷 南北通透 近地铁 集中供暖 房龄新,188,万,21861元/㎡,2室1厅1卫,86,南北,低层(共16层),2016,御槐园,丰台,新宫,丰台 新宫 槐房路,南北 满五年 近地铁,https://bj.58.com/ershoufang/4337488517570568x.shtml?auction=201&hpType=60&entry=102&position=38&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_38&from=from_esf_List_search&index=42,2025-11-28 12:20:23
双地铁 全明大三居 精装 户型方正餐客分离,315,万,24079元/㎡,3室2厅2卫,130.82,南北,高层(共6层),2008,龙锦苑东五区,昌平,霍营,昌平 霍营 龙锦三街,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4336346667801603x.shtml?auction=201&hpType=60&entry=102&position=39&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_39&from=from_esf_List_search&index=43,2025-11-28 12:20:23
亚运村新荣家园2室1厅,650,万,58229元/㎡,2室1厅1卫,111.63,西南,高层(共27层),2000,新荣家园,朝阳,亚运村,朝阳 亚运村 大屯北路,西南 满五年 近地铁 绿化率高,https://bj.58.com/ershoufang/4303486344797184x.shtml?auction=201&hpType=60&entry=102&position=40&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_40&from=from_esf_List_search&index=44,2025-11-28 12:20:23
南北通透 次新社区 边户明厨卫 安静不临街 满五一套,699,万,77238元/㎡,3室1厅1卫,90.5,南北,低层(共28层),2009,首城国际,朝阳,双井,朝阳 双井 广渠路36号,南北 近地铁 采光较好,https://bj.58.com/ershoufang/4109564342099968x.shtml?auction=201&hpType=60&entry=102&position=41&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_41&from=from_esf_List_search&index=45,2025-11-28 12:20:23
天通苑西三区新上两居室 满五   看房方便 业主诚售,210,万,24762元/㎡,2室1厅1卫,84.81,西,低层(共32层),2003,天通西苑三区,昌平,天通苑,昌平 天通苑 立汤路,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4029366847757323x.shtml?auction=201&hpType=60&entry=102&position=42&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_42&from=from_esf_List_search&index=46,2025-11-28 12:20:23
万年花城三期 商品房满五  ，近地铁，配套设施齐全,395,万,42773元/㎡,2室1厅1卫,92.35,东西,低层(共14层),2006,万年花城玫瑰碗(万年花城三期),丰台,玉泉营,丰台 玉泉营 芳菲路88号,东西 热门小区 近地铁 配套成熟,https://bj.58.com/ershoufang/4136874143149057x.shtml?auction=220&hpType=60&entry=102&position=43&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_43&from=from_esf_List_search&index=47,2025-11-28 12:20:23
家门口就是地铁口 万科物业 2017年电梯房 正规2居满5年,315,万,31507元/㎡,2室1厅1卫,99.98,南,中层(共18层),2017,运河铭著,通州,北关,通州 北关 商通大道,南 满五年 车位充足 采光较好,https://bj.58.com/ershoufang/4256785312947206x.shtml?auction=201&hpType=60&entry=102&position=44&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_44&from=from_esf_List_search&index=48,2025-11-28 12:20:23
蒲黄榆刘家窑东里南北无遮挡  低楼层钥匙房,210,万,35770元/㎡,2室1厅1卫,58.71,南北,低层(共6层),1988,刘家窑东里,丰台,刘家窑,丰台 刘家窑 刘家窑路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4122379125156869x.shtml?auction=201&hpType=60&entry=102&position=45&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_45&from=from_esf_List_search&index=49,2025-11-28 12:20:23
万科物业直营 华府二期南向大两居  优户型,399,万,44676元/㎡,2室2厅1卫,89.31,南北,高层(共27层),2014,金域华府东(金域华府二期),昌平,龙域,昌平 龙域 龙域北街1号,南北 近地铁,https://bj.58.com/ershoufang/3388095097266178x.shtml?auction=201&hpType=60&entry=102&position=46&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_46&from=from_esf_List_search&index=50,2025-11-28 12:20:23
通州北苑 世纪星城  2室  2厅 .带书房,335,万,32033元/㎡,3室2厅1卫,104.58,南北,低层(共26层),2009,世纪星城,通州,果园,通州 果园 通朝大街323号,南北 满五年 近地铁,https://bj.58.com/ershoufang/3689447778672643x.shtml?auction=201&hpType=60&entry=102&position=47&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_47&from=from_esf_List_search&index=51,2025-11-28 12:20:23
小区经典户型 户型方正 动静分离      看房随时,465,万,46389元/㎡,2室1厅2卫,100.24,东南,高层(共28层),2000,望京西园三区,朝阳,望京,朝阳 望京 望京街,东南 有电梯 近地铁 户型方正,https://bj.58.com/ershoufang/4310653964606465x.shtml?auction=201&hpType=60&entry=102&position=48&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_48&from=from_esf_List_search&index=52,2025-11-28 12:20:23
万科物业推荐好房  万科星园西南一居出售观景奥森,399,万,61197元/㎡,1室2厅1卫,65.2,西南,低层(共28层),2004,万科星园,朝阳,奥林匹克公园,朝阳 奥林匹克公园 安立路,西南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/4325150263009281x.shtml?auction=220&hpType=60&entry=102&position=49&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_49&from=from_esf_List_search&index=53,2025-11-28 12:20:23
南二环.开阳里三区.精装修电梯房有钥匙.出小区即到景风门地铁,450,万,49181元/㎡,2室2厅1卫,91.5,东,高层(共22层),2003,开阳里三区,丰台,右安门,丰台 右安门 开阳里三街,东 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4204658627272710x.shtml?auction=201&hpType=60&entry=102&position=50&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_50&from=from_esf_List_search&index=54,2025-11-28 12:20:23
好房急售 十里周家庄中路19号院 小区新 精装 大两房,302,万,34013元/㎡,2室1厅1卫,88.79,南北,中层(共28层),2014,周家庄中路19号院,朝阳,十里河,朝阳 十里河 西大望南路,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4331859429679117x.shtml?auction=201&hpType=60&entry=102&position=51&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_51&from=from_esf_List_search&index=55,2025-11-28 12:20:23
东二环 劲松八区 两居室,218,万,40000元/㎡,2室1厅1卫,54.5,东西,低层(共6层),1983,劲松西社区(劲松八区),朝阳,劲松,朝阳 劲松 劲松路,东西 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3356991856417803x.shtml?auction=201&hpType=60&entry=102&position=52&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_52&from=from_esf_List_search&index=56,2025-11-28 12:20:23
